Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10662892,RNA-Seq,75,1987713750,PRJNA594740,SAMN13528394,888012767,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341833,GSM4213364,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:45:00Z,1,GSM4213364,CSF Tfhs,SRP235677
SRR10662893,RNA-Seq,75,2015964150,PRJNA594740,SAMN13528393,916175179,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341834,GSM4213365,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:44:00Z,1,GSM4213365,CSF Tfhs,SRP235677
SRR10662894,RNA-Seq,75,1901075700,PRJNA594740,SAMN13528392,860192848,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341835,GSM4213366,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:45:00Z,1,GSM4213366,CSF Tfhs,SRP235677
SRR10662895,RNA-Seq,75,2115207375,PRJNA594740,SAMN13528391,953226563,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341836,GSM4213367,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:49:00Z,1,GSM4213367,CSF Tfhs,SRP235677
SRR10662896,RNA-Seq,75,2201315850,PRJNA594740,SAMN13528390,958153482,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341837,GSM4213368,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:46:00Z,1,GSM4213368,CSF Tfhs,SRP235677
SRR10662897,RNA-Seq,75,1890190350,PRJNA594740,SAMN13528389,843973378,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341838,GSM4213369,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:45:00Z,1,GSM4213369,CSF Tfhs,SRP235677
SRR10662898,RNA-Seq,75,1963854600,PRJNA594740,SAMN13528388,861405817,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341839,GSM4213370,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:46:00Z,1,GSM4213370,CSF Tfhs,SRP235677
SRR10662899,RNA-Seq,75,1714563450,PRJNA594740,SAMN13528387,772067750,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341840,GSM4213371,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:45:00Z,1,GSM4213371,CSF Tfhs,SRP235677
SRR10662900,RNA-Seq,75,1850975700,PRJNA594740,SAMN13528386,840027230,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341841,GSM4213372,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:48:00Z,1,GSM4213372,CSF Tfhs,SRP235677
SRR10662901,RNA-Seq,75,2203570875,PRJNA594740,SAMN13528385,999793073,CSF Tfh cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7341842,GSM4213373,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2019-12-11T06:51:00Z,1,GSM4213373,CSF Tfhs,SRP235677
