sample,fastq_1,fastq_2,strandedness
SRR10662892,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662892_1.fastq.gz,,auto
SRR10662893,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662893_1.fastq.gz,,auto
SRR10662894,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662894_1.fastq.gz,,auto
SRR10662895,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662895_1.fastq.gz,,auto
SRR10662896,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662896_1.fastq.gz,,auto
SRR10662897,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662897_1.fastq.gz,,auto
SRR10662898,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662898_1.fastq.gz,,auto
SRR10662899,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662899_1.fastq.gz,,auto
SRR10662900,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662900_1.fastq.gz,,auto
SRR10662901,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662901_1.fastq.gz,,auto
SRR10662902,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662902_1.fastq.gz,,auto
SRR10662903,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662903_1.fastq.gz,,auto
SRR10662904,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662904_1.fastq.gz,,auto
SRR10662905,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662905_1.fastq.gz,,auto
SRR10662906,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662906_1.fastq.gz,,auto
SRR10662907,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662907_1.fastq.gz,,auto
SRR10662908,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662908_1.fastq.gz,,auto
SRR10662909,/home/qzhang/data/projects/bioinformatics/powerhouse/data/GSE141797/fastq/SRR10662909_1.fastq.gz,,auto
