gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
A1BG	A1BG	4	7.764	10	7	9.405	13	10	8	0	0	2	9	2	6	0	24	4	13
A1BG-AS1	A1BG-AS1	1	2.236	1	1.271	6.468	5.353	5.094	0	0	0	0	0	0	0	0	6.032	1	5.992
A1CF	A1CF	37	22	24	45	85	2	39	4	5	18	31	35	48	14	10	11	23	20
A2M	A2M	15	12.999	7	7	16.59	32.77	12	4	0	8	6	9.98	12.335	8	4.996	9.847	3	13
A2M-AS1	A2M-AS1	13	4	3	5	11	30	21	0	0	13	5	10	8.665	8	4	8	3	0
A2ML1	A2ML1	13	4	0	16	6	2	10	0	0	5	11	2	10	9	0	0	13	1
A2MP1	A2MP1	3	0	1	2	4	1	0	0	1	0	1	3	0	0	1	0	2	1
A3GALT2	A3GALT2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
A4GALT	A4GALT	3	2	0	2	3	1	0	0	0	0	0	0	0	2	0	1	0	0
A4GNT	A4GNT	4	7	1	1	5	0	4	0	0	4	2	1	9	1	0	0	1	4
AA06	AA06	2	1	0	4	0	0	2	0	0	0	0	2	1	1	0	1	1	0
AAAS	AAAS	18	8	24	18	23	42	31	0	11	1	6	17	7	5	0	45	0	4
AACS	AACS	13	7	27	9	10	12	24	10	2	4	2	8	15	10	3	2	1	1
AACSP1	AACSP1	3	5	1	10	2	0	0	0	0	4	4	0	6	2	0	0	4	0
AADAC	AADAC	7	4	6	3	8	1	10	0	0	5	4	3	14	6	0	0	3	4
AADACL2	AADACL2	18	22	13	22	18	0	16	7	0	15	12	6	28	20	0	0	1	14
AADACL2-AS1	AADACL2-AS1	2	1	2	0	1	2	4	0	0	0	4	0	1	1	0	1	0	0
AADACL3	AADACL3	22	12	8	26	31	1	21	0	0	8	11	24	25	5	0	0	5	4
AADACL4	AADACL4	10	3	0	8	3	0	0	2	0	4	1	1	6	4	0	0	9	0
AADACP1	AADACP1	9	6	6	5	2	1	1	0	0	12	4	7	11	1	0	0	9	1
AADAT	AADAT	5	3	4	4	4	0	6	1	0	5	2	0	6	4	0	0	0	2
AAGAB	AAGAB	29	9	61	39	26	67	48	2	7	12	14	24	21	14	17	31	5	20
AAK1	AAK1	262	204	281	256	471	658	384	57	28	78	162	161.832	189	105	76	512	80	96
AAMDC	AAMDC	5	0	10	2	9	12.001	4	1	0	3	4	5	6	2	2	11	1	4
AAMP	AAMP	24	15	57	31	50	98	77	9	0	11	8	16	9	27	9	113	7	22
AANAT	AANAT	4	3	4	1	3	0	1	0	0	0	1	1	1	2	0	0	0	0
AAR2	AAR2	28	18	35	24	33	75	46	9	4	10	8	27	32	11	9	60	2	8
AARD	AARD	2	1	3	8	3	2	2	0	1	4	1	0	7	0	5	0	0	1
AARS1	AARS1	38	10	75	39	24	109	63	13	0	13	6	24	24	17	15	64	2	25
AARS2	AARS2	26	32	36	31	26	59	39	0	12	5	4	6	17	9	15	43	11	16
AARSD1	AARSD1	10	7.203	19	10	17	28.274	16.9	0	3	5	1	8.41	17	0	4	7.473	1	0
AASDH	AASDH	32	21	52.999	40	37	64	52	20	0	7	8	20	20	9	11	84	10	9
AASDHPPT	AASDHPPT	62	24	120	29	91	177	128	16	12	19	17	42	39	56	19	87	4	25
AASS	AASS	35	33	32	31	48	22	25	4	2	4	9	13	16	6	4	0	4	6
AATBC	AATBC	3	10	1	1	3	5	3	0	0	0	2	3	0	11	0	6	0	7
AATF	AATF	37	13	49	34	34	111	72	3	0	7	15	26	14	27	27	113	12	34
AATK	AATK	1	1	1	0	3	1	1	0	0	0	1	0	1	3	0	11	0	0
ABALON	ABALON	3.951	2.578	8.916	8.96	2.754	14.911	12.064	2.006	0	0	1.305	9.124	7.558	2.614	7.524	9.832	4.342	2.247
ABAT	ABAT	24	15	16	26	14	16	21	0	1	5	8	10	23	10	9	9	0	2
ABCA1	ABCA1	43	23	14	35	55	4	28	2	6	14	23	22	56	16	6	0	14	30
ABCA10	ABCA10	13.255	7	13	18	39.001	5.168	23	0	0	2.165	3.073	13	22.849	5.44	5	0	17	3.002
ABCA11P	ABCA11P	11.056	6.977	15.713	14.417	21.79	30.392	22.794	6.997	1	8.958	5.197	12.409	11.679	2	7	25.623	5	6.422
ABCA12	ABCA12	20	28	29	24	46	3	33	3	7	9	13	19	24	16	1	2	17	8
ABCA13	ABCA13	40	36	14	53	53	2	24	0	0	11	32	12	56	20	3	3	9	17
ABCA17P	ABCA17P	12	5	4	7.999	7	0	5	0	0	3	7	2	10	5	0	1	1	2
ABCA2	ABCA2	33	18	56	41	27	128	40	16	4	13	5	16	18	6	25	87	11	15
ABCA3	ABCA3	10	8	6	8.001	15	12	4	3	0	4	0	8	5	3	4	5	1	1
ABCA4	ABCA4	19	8	3	11	10	0	6	0	0	7	4	5	17	7	0	2	4	2
ABCA5	ABCA5	66.745	50	89	72	124	122.832	90	15	0	18.835	46.927	46	52.151	28.561	25	74	27	63.998
ABCA6	ABCA6	19	12	11	18	31	0	20	2	2	7	3	6	12	7	1	0	5	14
