baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB6,3.93983613276903,-1.58109748074034,0.67557007732789,-2.34039004065147,0.0192636100509967,NA
ABHD2,66.7002919998567,-0.630418824788136,0.214609985486962,-2.93750928391184,0.00330860265370295,0.79471197219052
ACACB,18.2081094689946,-0.950007157078745,0.381797264647127,-2.48825029680813,0.0128373349888823,0.999483955276918
ADCY7,57.6356264320865,0.631658206279637,0.267066709423557,2.36517013911252,0.0180217895364637,0.999483955276918
AGO2,115.200694041402,-0.460640419694929,0.173908143981837,-2.64875703430564,0.00807883892231672,0.999483955276918
AGPAT4-IT1,3.21933125868516,-1.86262857083922,0.788316772449623,-2.36279200942442,0.0181378459134141,NA
AGPAT5,34.4518422937244,-0.876704192863427,0.301083800943416,-2.91182783702199,0.00359320622014168,0.820881364442256
ALDH1B1,8.15413272994552,-1.13583050422429,0.458131848426029,-2.47926553922541,0.0131653253282191,NA
AMZ1,4.72438676780312,-2.28332525820776,0.765704499293548,-2.98199274042975,0.00286378789551432,NA
ANKRD22,10.4168721478066,-1.44936495308802,0.521539147849925,-2.77901468962226,0.00545240593570074,0.974743860015602
ARAP1,31.9312931416917,0.710595279737304,0.287025163542991,2.47572467502791,0.0132966071637472,0.999483955276918
ARFGEF2,68.2055764450211,-0.419588378534595,0.16485464372828,-2.54520205828219,0.0109214520800366,0.999483955276918
ARHGAP11A-SCG5,2.42063864918547,2.87106642316691,1.07567085654331,2.66909380848445,0.00760562047902383,NA
ARHGEF1,198.756842169019,0.497793602081263,0.16749931866869,2.9719141906833,0.00295949385909421,0.769529573616608
ARHGEF10,3.89167053368937,-1.47988692844953,0.598218950203008,-2.47382154635409,0.0133676450204055,NA
ARHGEF17,2.50213899574626,-1.95123357637865,0.838446207216504,-2.32720186409622,0.0199545238649127,NA
ARHGEF35,12.1821812719951,-1.54434635905321,0.4920111439474,-3.13884426816623,0.00169615563892209,0.681756064929876
ARMC9,14.9456368789726,-1.75714605082625,0.602523140526686,-2.91631297229559,0.00354195006554081,0.820881364442256
ARMCX2,6.8367302110454,-1.77875512784383,0.72054431790645,-2.46862695831398,0.0135632529580185,NA
ASCC3,99.921882484504,-0.365195992697882,0.145208633957068,-2.51497436995279,0.0119041037420189,0.999483955276918
ATN1,9.47149459780387,-0.98041685209123,0.384908701412632,-2.54714130517979,0.0108609444562763,0.999483955276918
BCL2L10,2.57116865746764,-2.56373359589493,0.951995365220637,-2.69301058550926,0.00708100207913441,NA
BEND3,10.0683203543901,-1.58949793283074,0.586542277678078,-2.70994605729535,0.00672941515635494,0.999483955276918
BMPR1A,17.1844891199112,-0.724354874610372,0.298265183879512,-2.42855993176523,0.0151589194929372,0.999483955276918
BMS1P4-AGAP5,17.2583095325866,-0.914773523383206,0.348496088628659,-2.62491761954306,0.00866699340050445,0.999483955276918
C11orf95,4.83254379939784,-2.20182238714539,0.672809354932814,-3.27257992327598,0.00106570737566903,NA
C18orf25,115.724034506278,-0.402681346059867,0.167082718146869,-2.41007179273863,0.0159493816746556,0.999483955276918
C1QTNF1,2.20162266615981,-3.28243162114824,1.11097894967635,-2.95453988764096,0.00313135671717427,NA
C1QTNF1-AS1,3.3003310732968,-2.78040668424789,1.09837429041152,-2.53138361715127,0.0113613514427275,NA
C1QTNF3-AMACR,1.41422971068583,-4.51996335261109,1.70277156209393,-2.65447430132836,0.00794320897338078,NA
C1QTNF6,8.57633771157129,-0.944783439720706,0.404521122904571,-2.33556021237385,0.0195141742910363,NA
C1QTNF8,1.16375067079318,-3.1840122831848,1.33994271348327,-2.37623015606969,0.0174905492642487,NA
C2orf15,4.49810952950463,-1.38644110853286,0.565923244300294,-2.44987482400914,0.0142905885531304,NA
C7orf31,8.37385518745299,-1.29000862688536,0.523203541757202,-2.4655961283305,0.0136785466473972,NA
CACNA1B,5.16224412358366,-2.08674164242235,0.806582641218187,-2.58713929086142,0.00967764620184929,NA
